Location,Date,Source
Jakarta,2018-12-26,https://www.straitstimes.com/asia/se-asia/indonesia-tsunami-survivors-face-another-whammy-as-floodwater-swamps-homes
Jakarta,2018-12-03,BNPB verified
Jakarta,2018-11-12,BNPB verified
Jakarta,2018-10-28,BNPB verified
Jakarta,2018-06-25,BNPB verified
Jakarta,2018-02-05,BNPB verified
Jakarta,2017-12-16,https://www.voanews.com/east-asia-pacific/jakarta-flooding-threatens-public-transport-poor-residents
Jakarta,2017-12-11,BNPB verified
Jakarta,2017-12-05,https://www.thejakartapost.com/news/2017/12/05/north-jakarta-thousand-islands-inundated-with-tidal-floods.html
Jakarta,2017-10-19,BNPB verified
Jakarta,2017-05-06,http://floodlist.com/asia/indonesia-floods-sulawesi-borneo-sumatra-may-2017
Jakarta,2017-04-01,BNPB verified
Jakarta,2017-03-28,BNPB verified
Jakarta,2017-03-16,BNPB verified
Jakarta,2017-02-10,https://www.wsj.com/articles/landslides-kill-13-in-bali-indonesias-disaster-mitigation-agency-says-1486802854
Jakarta,2016-11-10,BNPB verified
Jakarta,2016-10-10,BNPB verified
Jakarta,2016-10-04,https://coconuts.co/jakarta/news/latest-heavy-rains-brings-not-just-floods-giant-python-and-lizard-out-kemang/
Jakarta,2016-09-24,BNPB verified
Jakarta,2016-09-19,https://www.seattletimes.com/nation-world/19-dead-in-floods-landslides-on-indonesias-java-island/
Jakarta,2016-08-27,BNPB verified
Jakarta,2016-08-19,BNPB verified
Jakarta,2016-06-21,https://www.thejakartapost.com/news/2016/06/20/floods-force-relocation-of-2000-surakarta-residents.html
Jakarta,2016-04-01,BNPB verified
Jakarta,2016-03-19,BNPB verified
Jakarta,2016-03-12,BNPB verified
Jakarta,2016-02-24,BNPB verified
Jakarta,2016-01-12,BNPB verified
Jakarta,2015-12-06,https://en.tempo.co/read/724866/landslides-leave-5-dead-15-missing-in-western-indonesia
Jakarta,2015-02-26,http://floodlist.com/asia/floods-return-jakarta
Jakarta,2015-01-31,https://www.straitstimes.com/asia/se-asia/6000-evacuated-in-jakarta-after-floods
Jakarta,2014-12-31,https://www.thejakartapost.com/news/2014/12/31/floods-ruin-thousands-hectares-crops.html#sthash.EIO24Nou.dpuf
Jakarta,2014-12-26,https://avax.news/fact/Daily_Life_in_Indonesia_24-12-2014.html
Jakarta,2014-11-19,BNPB verified
Jakarta,2014-08-11,BNPB verified
Jakarta,2017-05-11,http://floodlist.com/asia/indonesia-floods-sulawesi-borneo-sumatra-may-2017
Jakarta,2017-02-22,http://floodlist.com/asia/indonesia-flood-jakarta-february-2017
Jakarta,2015-02-11,http://floodlist.com/asia/rain-malaysia-indonesia-serawak-floods
Jakarta,2015-01-28,http://floodlist.com/asia/indonesia-1-dead-1-missing-flash-floods-west-sumatra
Jakarta,2014-08-15,http://floodlist.com/asia/2-dead-600-displaced-floods-indonesia
KOTA JAKARTA TIMUR,2019-04-26,BNPB
KOTA JAKARTA SELATAN,2019-04-25,BNPB
KOTA JAKARTA UTARA,2018-12-08,BNPB
KOTA JAKARTA TIMUR,2018-12-03,BNPB
