,dewpoint,latitude,longitude,observationTimeUtcIso,precipitationRate,pressure,relativeHumidity,temperature,windDirection,windSpeed
0,21.0,-6.235,106.773,2019-01-01T00:00:00+0000,0.0,1013.2,71.3,26.6,228.7,15.1
1,20.6,-6.235,106.773,2019-01-01T01:00:00+0000,0.0,1013.7,63.9,28.0,249.3,17.7
2,20.6,-6.235,106.773,2019-01-01T02:00:00+0000,0.0,1013.9,56.8,30.1,254.9,17.8
3,20.5,-6.235,106.773,2019-01-01T03:00:00+0000,0.0,1013.4,51.7,31.7,259.4,17.9
4,20.3,-6.235,106.773,2019-01-01T04:00:00+0000,0.0,1012.9,48.4,32.7,262.1,20.0
5,20.1,-6.235,106.773,2019-01-01T05:00:00+0000,0.108,1012.2,46.2,33.3,261.3,21.9
6,19.8,-6.235,106.773,2019-01-01T06:00:00+0000,0.108,1011.3,44.3,33.6,256.1,23.7
7,19.3,-6.235,106.773,2019-01-01T07:00:00+0000,0.0,1010.7,43.2,33.5,249.9,25.0
8,19.2,-6.235,106.773,2019-01-01T08:00:00+0000,0.0,1010.3,44.0,33.1,245.3,24.0
9,19.3,-6.235,106.773,2019-01-01T09:00:00+0000,0.0,1010.4,46.5,32.2,242.3,22.6
10,19.7,-6.235,106.773,2019-01-01T10:00:00+0000,0.0,1011.1,51.9,30.7,238.8,21.0
11,20.1,-6.235,106.773,2019-01-01T11:00:00+0000,0.0,1011.9,59.7,28.8,234.1,17.5
12,20.3,-6.235,106.773,2019-01-01T12:00:00+0000,0.0,1012.6,65.2,27.4,228.0,16.5
13,20.6,-6.235,106.773,2019-01-01T13:00:00+0000,0.0,1013.7,71.1,26.2,228.4,15.2
14,20.8,-6.235,106.773,2019-01-01T14:00:00+0000,0.0,1013.9,73.0,26.0,229.4,14.5
15,20.9,-6.235,106.773,2019-01-01T15:00:00+0000,0.0,1013.9,74.4,25.8,226.9,13.9
16,21.1,-6.235,106.773,2019-01-01T16:00:00+0000,0.0,1013.7,75.6,25.7,230.6,13.6
17,21.1,-6.235,106.773,2019-01-01T17:00:00+0000,0.0,1013.5,76.6,25.6,232.2,13.4
18,21.2,-6.235,106.773,2019-01-01T18:00:00+0000,0.0,1013.2,77.4,25.4,232.2,13.4
19,21.1,-6.235,106.773,2019-01-01T19:00:00+0000,0.0,1013.2,78.1,25.2,233.6,12.7
20,21.0,-6.235,106.773,2019-01-01T20:00:00+0000,0.0,1013.2,78.0,25.1,232.4,13.0
21,20.9,-6.235,106.773,2019-01-01T21:00:00+0000,0.0,1013.0,77.1,25.2,230.4,13.3
22,20.8,-6.235,106.773,2019-01-01T22:00:00+0000,0.0,1012.9,77.8,25.0,229.7,13.0
23,20.7,-6.235,106.773,2019-01-01T23:00:00+0000,0.0,1013.1,78.1,24.8,230.0,12.5
24,20.7,-6.235,106.773,2019-01-02T00:00:00+0000,0.0,1013.5,70.6,26.5,235.0,13.6
25,21.0,-6.235,106.773,2019-01-02T01:00:00+0000,0.0,1013.7,63.8,28.6,251.1,16.2
26,20.7,-6.235,106.773,2019-01-02T02:00:00+0000,0.0,1013.7,55.5,30.7,257.2,19.1
27,20.4,-6.235,106.773,2019-01-02T03:00:00+0000,0.0,1013.0,49.6,32.3,258.0,19.6
28,19.8,-6.235,106.773,2019-01-02T04:00:00+0000,0.0,1012.2,44.5,33.6,257.0,20.4
29,19.3,-6.235,106.773,2019-01-02T05:00:00+0000,0.0,1011.4,41.1,34.4,256.1,21.2
30,18.9,-6.235,106.773,2019-01-02T06:00:00+0000,0.0,1010.8,39.2,34.8,253.8,22.4
31,18.6,-6.235,106.773,2019-01-02T07:00:00+0000,0.0,1010.3,38.9,34.6,257.8,21.0
32,18.3,-6.235,106.773,2019-01-02T08:00:00+0000,0.0,1009.9,39.0,34.3,257.1,21.6
33,18.6,-6.235,106.773,2019-01-02T09:00:00+0000,0.0,1009.8,41.8,33.4,257.0,21.7
34,19.3,-6.235,106.773,2019-01-02T10:00:00+0000,0.0,1010.5,47.9,31.7,253.0,20.1
35,20.0,-6.235,106.773,2019-01-02T11:00:00+0000,0.0,1011.3,56.7,29.5,248.7,16.7
36,20.3,-6.235,106.773,2019-01-02T12:00:00+0000,0.0,1012.3,63.0,28.1,243.3,15.7
