,Location,Date
0,Jakarta,2019-01-09
1,Jakarta,2019-01-12
2,Jakarta,2019-01-13
3,Jakarta,2019-01-14
4,Jakarta,2019-01-18
5,Jakarta,2019-01-19
6,Jakarta,2019-01-21
7,Jakarta,2019-01-22
8,Jakarta,2019-01-25
9,Jakarta,2019-01-30
10,Jakarta,2019-02-02
11,Jakarta,2019-02-11
12,Jakarta,2019-02-12
13,Jakarta,2019-02-16
14,Jakarta,2019-02-17
15,Jakarta,2019-02-20
16,Jakarta,2019-02-21
17,Jakarta,2019-02-26
18,Jakarta,2019-03-05
19,Jakarta,2019-03-15
20,Jakarta,2019-03-17
21,Jakarta,2019-03-31
22,Jakarta,2019-04-02
23,Jakarta,2019-04-16
24,Jakarta,2019-04-24
25,Jakarta,2019-04-25
26,Jakarta,2019-04-26
27,Jakarta,2019-04-27
28,Jakarta,2019-04-28
29,Jakarta,2019-05-15
30,Jakarta,2019-08-28
31,Jakarta,2019-10-09
32,Jakarta,2019-12-31
