,Location,Date
0,Jakarta Selatan,2019-04-05
1,Jakarta Timur,2019-04-13
2,Jakarta Timur,2019-04-14
3,Jakarta Selatan,2019-04-16
4,Jakarta Selatan,2019-04-24
5,Jakarta Timur,2019-04-24
6,Jakarta Selatan,2019-04-26
7,Jakarta Timur,2019-04-26
8,Jakarta Selatan,2019-04-27
9,Jakarta Timur,2019-04-27
10,Jakarta Barat,2019-04-27
11,Jakarta Timur,2019-04-28
12,Jakarta Barat,2019-04-28
13,Jakarta Selatan,2019-04-28
14,Jakarta Barat,2019-04-29
15,Jakarta Timur,2019-04-29
16,Jakarta Timur,2019-04-30
17,Jakarta Selatan,2019-04-30
18,Jakarta Timur,2019-05-04
19,Jakarta Selatan,2019-05-05
20,Jakarta Timur,2019-06-05
21,Jakarta Selatan,2019-09-10
22,Jakarta Timur,2019-09-10
