,Location,Date
0,Jakarta,2019-12-31
1,Jakarta,2019-12-31
5,Jakarta,2019-10-27
7,Jakarta,2019-10-22
10,Jakarta,2019-10-09
13,Jakarta,2019-09-29
20,Jakarta,2019-08-28
24,Jakarta,2019-06-27
26,Jakarta,2019-06-16
36,Jakarta,2019-05-15
39,Jakarta,2019-05-12
47,Jakarta,2019-04-30
56,Jakarta,2019-04-27
60,Jakarta,2019-04-27
61,Jakarta,2019-04-27
63,Jakarta,2019-04-26
65,Jakarta,2019-04-26
66,Jakarta,2019-04-26
68,Jakarta,2019-04-26
70,Jakarta,2019-04-26
71,Jakarta,2019-04-26
72,Jakarta,2019-04-26
73,Jakarta,2019-04-26
75,Jakarta,2019-04-24
77,Jakarta,2019-04-24
78,Jakarta,2019-04-23
79,Jakarta,2019-04-20
80,Jakarta,2019-04-16
81,Jakarta,2019-04-15
85,Jakarta,2019-04-08
86,Jakarta,2019-04-08
87,Jakarta,2019-04-08
91,Jakarta,2019-04-02
93,Jakarta,2019-04-01
102,Jakarta,2019-03-17
103,Jakarta,2019-03-17
105,Jakarta,2019-03-15
107,Jakarta,2019-03-14
118,Jakarta,2019-02-20
119,Jakarta,2019-02-20
120,Jakarta,2019-02-19
121,Jakarta,2019-02-17
122,Jakarta,2019-02-17
124,Jakarta,2019-02-11
126,Jakarta,2019-02-02
127,Jakarta,2019-02-02
129,Jakarta,2019-01-30
130,Jakarta,2019-01-30
131,Jakarta,2019-01-30
132,Jakarta,2019-01-29
133,Jakarta,2019-01-27
137,Jakarta,2019-01-25
138,Jakarta,2019-01-25
139,Jakarta,2019-01-25
142,Jakarta,2019-01-23
143,Jakarta,2019-01-23
145,Jakarta,2019-01-22
146,Jakarta,2019-01-22
148,Jakarta,2019-01-22
151,Jakarta,2019-01-21
152,Jakarta,2019-01-21
154,Jakarta,2019-01-13
155,Jakarta,2019-01-09
157,Jakarta,2019-01-03
160,Jakarta,2019-01-01
164,Jakarta,2018-12-26
165,Jakarta,2018-12-21
166,Jakarta,2018-12-18
168,Jakarta,2018-12-17
170,Jakarta,2018-12-14
172,Jakarta,2018-12-12
173,Jakarta,2018-12-10
175,Jakarta,2018-12-06
177,Jakarta,2018-12-04
179,Jakarta,2018-12-03
180,Jakarta,2018-12-03
181,Jakarta,2018-11-30
182,Jakarta,2018-11-29
184,Jakarta,2018-11-28
185,Jakarta,2018-11-28
186,Jakarta,2018-11-27
187,Jakarta,2018-11-26
188,Jakarta,2018-11-25
194,Jakarta,2018-11-15
198,Jakarta,2018-11-14
208,Jakarta,2018-11-12
211,Jakarta,2018-11-11
214,Jakarta,2018-11-09
215,Jakarta,2018-11-08
219,Jakarta,2018-11-06
222,Jakarta,2018-10-30
234,Jakarta,2018-10-13
236,Jakarta,2018-10-05
246,Jakarta,2018-09-05
248,Jakarta,2018-09-03
275,Jakarta,2018-05-04
276,Jakarta,2018-05-03
277,Jakarta,2018-05-03
278,Jakarta,2018-05-03
298,Jakarta,2018-03-27
311,Jakarta,2018-03-07
321,Jakarta,2018-02-24
322,Jakarta,2018-02-24
330,Jakarta,2018-02-17
335,Jakarta,2018-02-15
336,Jakarta,2018-02-15
344,Jakarta,2018-02-10
