Location,Date
Jakarta,2020-12-31 02:53:38
Jakarta,2021-02-02 18:07:26
Jakarta,2021-01-22 20:55:21
Jakarta,2020-12-05 12:50:41
Jakarta,2020-10-31 06:15:06
Jakarta,2020-09-20 05:28:42
Jakarta,2020-06-01 14:49:00
Jakarta,2020-09-14 14:10:47
Jakarta,2020-11-17 07:11:03
Jakarta,2020-05-18 19:51:42
Jakarta,2020-04-12 15:06:30
Jakarta,2020-05-11 17:44:24
Jakarta,2020-10-25 04:24:00
Jakarta,2020-06-22 07:46:18
Jakarta,2021-01-15 03:24:17
Jakarta,2020-08-13 08:12:03
Jakarta,2020-10-16 09:29:24
Jakarta,2020-04-06 08:31:23
Jakarta,2020-04-29 08:56:11
Jakarta,2019-11-02 09:19:43
Jakarta,2020-03-26 00:44:30
Jakarta,2020-01-17 07:18:12
Jakarta,2020-06-18 13:46:33
Jakarta,2019-04-24 08:30:03
Jakarta,2019-05-22 14:29:45
Jakarta,2019-12-31 04:41:15
Jakarta,2019-05-16 03:33:13
Jakarta,2019-12-17 07:05:42
Jakarta,2019-07-31 08:17:36
Jakarta,2020-10-04 13:21:49
Jakarta,2018-12-03 09:07:18
Jakarta,2018-11-20 05:47:19
Jakarta,2018-11-05 09:58:57
Jakarta,2020-07-15 22:22:45
Jakarta,2018-10-28 14:54:40
Jakarta,2018-11-12 01:41:51
Jakarta,2018-10-22 15:30:20
Jakarta,2019-03-04 20:57:11
Jakarta,2021-01-08 10:50:53
Jakarta,2020-07-11 09:08:02
Jakarta,2019-02-16 16:30:39
Jakarta,2018-06-25 01:48:35
Jakarta,2019-01-30 04:29:11
Jakarta,2018-09-02 09:36:15
Jakarta,2019-01-22 09:17:16
Jakarta,2019-04-02 08:56:52
Jakarta,2019-10-08 13:41:42
Jakarta,2019-12-04 13:00:07
Jakarta,2018-03-27 09:03:13
Jakarta,2018-03-22 02:19:45
Jakarta,2017-12-21 05:13:38
Jakarta,2017-12-31 07:50:44
Jakarta,2017-11-12 09:15:28
Jakarta,2018-12-26 03:55:32
Jakarta,2017-10-19 15:08:53
Jakarta,2018-08-06 11:57:30
Jakarta,2017-09-26 23:44:04
Jakarta,2017-12-16 03:02:17
Jakarta,2017-04-01 10:53:30
Jakarta,2017-03-16 01:17:01
Jakarta,2017-02-10 15:29:36
Jakarta,2017-12-11 07:33:53
Jakarta,2017-12-05 07:14:18
Jakarta,2017-05-06 19:38:19
Jakarta,2020-07-01 13:44:11
Jakarta,2017-01-10 16:05:43
Jakarta,2018-12-10 08:32:43
Jakarta,2016-10-25 00:00:17
Jakarta,2016-10-19 07:23:20
Jakarta,2016-10-10 14:00:19
Jakarta,2016-10-04 06:03:57
Jakarta,2016-12-08 11:19:48
Jakarta,2018-02-05 02:21:36
Jakarta,2016-09-24 19:34:54
Jakarta,2017-04-26 06:12:37
Jakarta,2016-09-19 12:33:05
Jakarta,2016-09-14 13:33:00
Jakarta,2016-11-29 03:00:01
Jakarta,2016-08-27 08:36:55
Jakarta,2016-07-16 06:32:14
Jakarta,2016-11-23 05:51:55
Jakarta,2017-04-19 09:01:05
Jakarta,2016-09-04 16:24:09
Jakarta,2017-04-11 10:52:23
Jakarta,2017-03-28 10:25:46
Jakarta,2016-06-21 10:14:51
Jakarta,2016-08-19 14:31:38
Jakarta,2016-06-15 04:20:51
Jakarta,2016-05-14 15:00:56
Jakarta,2016-11-10 10:58:15
Jakarta,2016-02-24 14:39:43
Jakarta,2016-04-17 09:55:40
Jakarta,2016-02-08 10:33:36
Jakarta,2016-08-14 13:14:34
Jakarta,2016-04-09 11:00:36
Jakarta,2016-04-01 12:08:48
Jakarta,2015-12-29 15:47:06
Jakarta,2016-01-22 18:35:44
Jakarta,2016-03-19 17:39:03
Jakarta,2016-02-01 03:19:12
Jakarta,2016-03-12 02:26:51
Jakarta,2016-01-12 12:54:03
Jakarta,2015-11-24 06:35:04
Jakarta,2016-05-30 13:00:30
Jakarta,2016-06-03 14:11:17
Jakarta,2015-11-13 09:00:57
Jakarta,2016-05-23 08:35:47
Jakarta,2015-11-07 06:03:50
Jakarta,2015-08-20 01:53:57
Jakarta,2015-09-21 09:21:58
Jakarta,2015-06-21 18:01:58
Jakarta,2015-12-06 10:57:54
Jakarta,2015-05-03 08:37:39
Jakarta,2015-06-01 05:33:00
Jakarta,2016-05-08 08:30:03
Jakarta,2015-10-07 11:45:58
Jakarta,2015-04-01 04:25:32
Jakarta,2016-10-31 04:13:24
Jakarta,2015-03-19 14:41:40
Jakarta,2015-01-31 04:22:41
Jakarta,2014-12-31 07:04:51
Jakarta,2015-02-06 11:56:29
Jakarta,2017-01-25 03:15:38
Jakarta,2015-04-19 09:27:04
Jakarta,2014-12-19 14:45:25
Jakarta,2014-12-26 06:55:35
Jakarta,2015-02-26 04:29:20
Jakarta,2014-11-19 11:57:21
Jakarta,2014-12-05 07:36:35
Jakarta,2014-11-08 09:47:16
Jakarta,2015-01-12 00:45:53
Jakarta,2014-09-20 09:14:06
Jakarta,2014-10-13 14:31:15
Jakarta,2014-10-23 11:18:20
Jakarta,2014-08-29 12:31:22
Jakarta,2014-09-05 14:22:39
Jakarta,2014-08-15 23:09:50
Jakarta,2014-08-03 07:57:43
Jakarta,2014-08-11 08:53:18
